Average velocities saved to average_velocities.txt
         31881503 function calls (31027791 primitive calls) in 41.996 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.170    0.170 rcsetup.py:1(<module>)
    10512    0.017    0.000    0.169    0.000 fromnumeric.py:215(reshape)
    19720    0.040    0.000    0.168    0.000 transforms.py:1859(transform_affine)
    26431    0.039    0.000    0.165    0.000 artist.py:727(set_figure)
    20260    0.144    0.000    0.164    0.000 numeric.py:220(ones_like)
    67024    0.040    0.000    0.163    0.000 __init__.py:1291(is_interactive)
    11599    0.012    0.000    0.161    0.000 font_manager.py:656(__eq__)
        1    0.006    0.006    0.161    0.161 _axes.py:6701(hist)
     4215    0.008    0.000    0.161    0.000 axis.py:419(_get_text2_transform)
    81611    0.041    0.000    0.161    0.000 <frozen abc>:117(__instancecheck__)
      200    0.001    0.000    0.159    0.001 box.py:160(calculate_pressure)
    12672    0.021    0.000    0.159    0.000 lines.py:1058(set_color)
    59896    0.132    0.000    0.158    0.000 contextlib.py:104(__init__)
59261/35942    0.035    0.000    0.157    0.000 {built-in method builtins.hash}
    38016    0.072    0.000    0.157    0.000 lines.py:1202(_set_markercolor)
    33969    0.053    0.000    0.157    0.000 markers.py:275(_set_fillstyle)
79392/47288    0.116    0.000    0.155    0.000 transforms.py:167(_invalidate_internal)
     4217    0.029    0.000    0.154    0.000 core.py:2868(__new__)
    33330    0.060    0.000    0.153    0.000 lines.py:1294(set_ydata)
      200    0.001    0.000    0.152    0.001 box.py:136(calculate_temperature)
     2532    0.006    0.000    0.152    0.000 axes3d.py:230(_transformed_cube)
   750538    0.151    0.000    0.151    0.000 {built-in method builtins.id}
   148245    0.092    0.000    0.146    0.000 _function_base_impl.py:346(iterable)
     2532    0.010    0.000    0.146    0.000 proj3d.py:238(_proj_points)
    20200    0.030    0.000    0.145    0.000 box.py:144(<genexpr>)
     4215    0.018    0.000    0.144    0.000 _base.py:966(get_xaxis_text2_transform)
    55294    0.111    0.000    0.142    0.000 {method '__reduce_ex__' of 'object' objects}
    96352    0.094    0.000    0.141    0.000 copy.py:231(_keep_alive)
     2412    0.019    0.000    0.141    0.000 colors.py:1324(process_value)
      291    0.002    0.000    0.140    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
    21115    0.017    0.000    0.139    0.000 axis.py:320(_set_artist_props)
2034/1017    0.013    0.000    0.137    0.000 transforms.py:2378(frozen)
        1    0.000    0.000    0.137    0.137 axes3d.py:1(<module>)
     4316    0.008    0.000    0.135    0.000 transforms.py:805(from_bounds)
     3057    0.057    0.000    0.135    0.000 colors.py:416(to_rgba_array)
17298/16892    0.075    0.000    0.133    0.000 spines.py:339(get_spine_transform)
        1    0.000    0.000    0.133    0.133 __config__.py:1(<module>)
    22589    0.089    0.000    0.132    0.000 font_manager.py:821(set_size)
     4233    0.003    0.000    0.132    0.000 transforms.py:2803(get_affine)
     9530    0.028    0.000    0.131    0.000 transforms.py:1843(frozen)
    21329    0.089    0.000    0.130    0.000 transforms.py:2053(scale)
      606    0.003    0.000    0.130    0.000 axes3d.py:673(_set_bound3d)
     5462    0.068    0.000    0.130    0.000 transforms.py:2834(nonsingular)
    20019    0.123    0.000    0.129    0.000 proj3d.py:173(_proj_transform_vec)
    12672    0.048    0.000    0.128    0.000 lines.py:1226(set_markerfacecolor)
     1215    0.043    0.000    0.126    0.000 ticker.py:803(_set_format)
     3216    0.011    0.000    0.125    0.000 core.py:6843(array)
   351217    0.124    0.000    0.124    0.000 {method 'append' of 'list' objects}
